Ncode,City
0012000000,tehran
0011300000,tehran
0012000000,tehran
0013800000,tehran
0014500000,tehran
0015200000,tehran
0017700000,tehran
0018400000,tehran
0019100000,tehran
0011080000,tehran
0011190000,tehran
0024000000,tehran
0021900000,tehran
0022600000,tehran
0023300000,tehran
0024000000,tehran
0025800000,tehran
0026500000,tehran
0027200000,tehran
0029700000,tehran
0021020000,tehran
0021130000,tehran
0036000000,tehran
0031400000,tehran
0032100000,tehran
0033900000,tehran
0034600000,tehran
0035300000,tehran
0036000000,tehran
0037800000,tehran
0038500000,tehran
0039200000,tehran
0031070000,tehran
0048000000,tehran
0042700000,tehran
0043400000,tehran
0044100000,tehran
0045900000,tehran
0046600000,tehran
0047300000,tehran
0048000000,tehran
0049800000,tehran
0041010000,tehran
0041120000,tehran
0051500000,tehran
0052200000,tehran
0054700000,tehran
0055400000,tehran
0056100000,tehran
0057900000,tehran
0058600000,tehran
0059300000,tehran
0051060000,tehran
0051170000,tehran
0051280000,tehran
0061000000,tehran
0061000000,tehran
0062800000,tehran
0063500000,tehran
0064200000,tehran
0066700000,tehran
0067400000,tehran
0068100000,tehran
0069900000,tehran
0061000000,tehran
0061110000,tehran
0073000000,tehran
0071600000,tehran
0072300000,tehran
0073000000,tehran
0074800000,tehran
0075500000,tehran
0076200000,tehran
0078700000,tehran
0079400000,tehran
0071050000,tehran
0071160000,tehran
0085000000,tehran
0081100000,tehran
0082900000,tehran
0083600000,tehran
0084300000,tehran
0085000000,tehran
0086800000,tehran
0087500000,tehran
0088200000,tehran
0081100000,tehran
0081210000,tehran
2289000000,shiraz
2281200000,shiraz
2283700000,shiraz
2284400000,shiraz
2285100000,shiraz
2286900000,shiraz
2287600000,shiraz
2288300000,shiraz
2289000000,shiraz
2281090000,shiraz
2281200000,shiraz
2281310000,shiraz
2281420000,shiraz
2281530000,shiraz
2281640000,shiraz
2281750000,shiraz
2281860000,shiraz
2281970000,shiraz
2282010000,shiraz
2282120000,shiraz
2282230000,shiraz
2282340000,shiraz
2282450000,shiraz
2282560000,shiraz
2282670000,shiraz
2282780000,shiraz
2282890000,shiraz
2283040000,shiraz
2283150000,shiraz
2283260000,shiraz
2283370000,shiraz
2283480000,shiraz
2290000000,shiraz
2291800000,shiraz
2292500000,shiraz
2293200000,shiraz
2295700000,shiraz
2296400000,shiraz
2297100000,shiraz
2298900000,shiraz
2299600000,shiraz
2291030000,shiraz
2291140000,shiraz
2291250000,shiraz
2291360000,shiraz
2291470000,shiraz
2291580000,shiraz
2291690000,shiraz
2291800000,shiraz
2291910000,shiraz
2292060000,shiraz
2292170000,shiraz
2292280000,shiraz
2292390000,shiraz
2292500000,shiraz
2292610000,shiraz
2292720000,shiraz
2292830000,shiraz
2292940000,shiraz
2293090000,shiraz
2293200000,shiraz
2293310000,shiraz
2293420000,shiraz
2293530000,shiraz
2309000000,shiraz
2301200000,shiraz
2303700000,shiraz
2304400000,shiraz
2305100000,shiraz
2306900000,shiraz
2307600000,shiraz
2308300000,shiraz
2309000000,shiraz
2301090000,shiraz
2301200000,shiraz
2301310000,shiraz
2301420000,shiraz
2301530000,shiraz
2301640000,shiraz
2301750000,shiraz
2301860000,shiraz
2301970000,shiraz
2302010000,shiraz
2302120000,shiraz
2302230000,shiraz
2302340000,shiraz
2302450000,shiraz
2302560000,shiraz
2302670000,shiraz
2302780000,shiraz
2302890000,shiraz
2303040000,shiraz
2303150000,shiraz
2303260000,shiraz
2303370000,shiraz
2303480000,shiraz
0316000000,karaj
0311400000,karaj
0312100000,karaj
0313900000,karaj
0314600000,karaj
0315300000,karaj
0316000000,karaj
0317800000,karaj
0318500000,karaj
0319200000,karaj
0311070000,karaj
0311180000,karaj
0311290000,karaj
0311400000,karaj
0311510000,karaj
0311620000,karaj
0311730000,karaj
0311840000,karaj
0311950000,karaj
0312100000,karaj
0312210000,karaj
0312320000,karaj
0312430000,karaj
0312540000,karaj
0312650000,karaj
0312760000,karaj
0312870000,karaj
0312980000,karaj
0313020000,karaj
0313130000,karaj
0313240000,karaj
0313350000,karaj
0313460000,karaj
0313570000,karaj
0313680000,karaj
0313790000,karaj
0313900000,karaj
0314050000,karaj
0314160000,karaj
0314270000,karaj
0314380000,karaj
0314490000,karaj
0314600000,karaj
0314710000,karaj
0314820000,karaj
0314930000,karaj
0315080000,karaj
0315190000,karaj
0315300000,karaj
0328000000,karaj
0322700000,karaj
0323400000,karaj
0324100000,karaj
0325900000,karaj
0326600000,karaj
0327300000,karaj
0328000000,karaj
0329800000,karaj
0321010000,karaj
0321120000,karaj
0321230000,karaj
0321340000,karaj
0321450000,karaj
0321560000,karaj
0321670000,karaj
0321780000,karaj
0321890000,karaj
0322040000,karaj
0322150000,karaj
0322260000,karaj
0322370000,karaj
0322480000,karaj
0322590000,karaj
0322700000,karaj
0322810000,karaj
0322920000,karaj
0323070000,karaj
0323180000,karaj
0323290000,karaj
0323400000,karaj
0323510000,karaj
0323620000,karaj
0323730000,karaj
0323840000,karaj
0323950000,karaj
0324100000,karaj
0324210000,karaj
0324320000,karaj
0324430000,karaj
0324540000,karaj
0324650000,karaj
0324760000,karaj
0324870000,karaj
0324980000,karaj
0325020000,karaj
0325130000,karaj
0325240000,karaj
0325350000,karaj
