Ncode,City
0012000000,tehran
0011300000,tehran
0012000000,tehran
0013800000,tehran
0014500000,tehran
0015200000,tehran
0017700000,tehran
0018400000,tehran
0019100000,tehran
0011080000,tehran
0011190000,tehran
0011300000,tehran
0011410000,tehran
0011520000,tehran
0011630000,tehran
0011740000,tehran
0011850000,tehran
0011960000,tehran
0012000000,tehran
0012110000,tehran
0012220000,tehran
0012330000,tehran
0012440000,tehran
0012550000,tehran
0012660000,tehran
0012770000,tehran
0012880000,tehran
0012990000,tehran
0013030000,tehran
0013140000,tehran
0013250000,tehran
0013360000,tehran
0013470000,tehran
0013580000,tehran
0013690000,tehran
0013800000,tehran
0013910000,tehran
0014060000,tehran
0014170000,tehran
0014280000,tehran
0014390000,tehran
0014500000,tehran
0014610000,tehran
0014720000,tehran
0014830000,tehran
0014940000,tehran
0015090000,tehran
0015200000,tehran
0015310000,tehran
0015420000,tehran
0015530000,tehran
0015640000,tehran
0015750000,tehran
0015860000,tehran
0015970000,tehran
0016010000,tehran
0016120000,tehran
0016230000,tehran
0016340000,tehran
0016450000,tehran
0016560000,tehran
0016670000,tehran
0016780000,tehran
0016890000,tehran
0017040000,tehran
0017150000,tehran
0017260000,tehran
0017370000,tehran
0017480000,tehran
0017590000,tehran
0017700000,tehran
0017810000,tehran
0017920000,tehran
0018070000,tehran
0018180000,tehran
0018290000,tehran
0018400000,tehran
0018510000,tehran
0018620000,tehran
0018730000,tehran
0018840000,tehran
0018950000,tehran
0019100000,tehran
0019210000,tehran
0019320000,tehran
0019430000,tehran
0019540000,tehran
0019650000,tehran
0019760000,tehran
0019870000,tehran
0019980000,tehran
0011016000,tehran
0011022000,tehran
0011039000,tehran
0011045000,tehran
0011051000,tehran
0011068000,tehran
0011074000,tehran
0011080000,tehran
0024000000,tehran
0021900000,tehran
0022600000,tehran
0023300000,tehran
0024000000,tehran
0025800000,tehran
0026500000,tehran
0027200000,tehran
0029700000,tehran
0021020000,tehran
0021130000,tehran
0021240000,tehran
0021350000,tehran
0021460000,tehran
0021570000,tehran
0021680000,tehran
0021790000,tehran
0021900000,tehran
0022050000,tehran
0022160000,tehran
0022270000,tehran
0022380000,tehran
0022490000,tehran
0022600000,tehran
0022710000,tehran
0022820000,tehran
0022930000,tehran
0023080000,tehran
0023190000,tehran
0023300000,tehran
0023410000,tehran
0023520000,tehran
0023630000,tehran
0023740000,tehran
0023850000,tehran
0023960000,tehran
0024000000,tehran
0024110000,tehran
0024220000,tehran
0024330000,tehran
0024440000,tehran
0024550000,tehran
0024660000,tehran
0024770000,tehran
0024880000,tehran
0024990000,tehran
0025030000,tehran
0025140000,tehran
0025250000,tehran
0025360000,tehran
0025470000,tehran
0025580000,tehran
0025690000,tehran
0025800000,tehran
0025910000,tehran
0026060000,tehran
0026170000,tehran
0026280000,tehran
0026390000,tehran
0026500000,tehran
0026610000,tehran
0026720000,tehran
0026830000,tehran
0026940000,tehran
0027090000,tehran
0027200000,tehran
0027310000,tehran
0027420000,tehran
0027530000,tehran
0027640000,tehran
0027750000,tehran
0027860000,tehran
0027970000,tehran
0028010000,tehran
0028120000,tehran
0028230000,tehran
0028340000,tehran
0028450000,tehran
0028560000,tehran
0028670000,tehran
0028780000,tehran
0028890000,tehran
0029040000,tehran
0029150000,tehran
0029260000,tehran
0029370000,tehran
0029480000,tehran
0029590000,tehran
0029700000,tehran
0029810000,tehran
0029920000,tehran
0021008000,tehran
0021014000,tehran
0021020000,tehran
0021037000,tehran
0021043000,tehran
0021066000,tehran
0021072000,tehran
0021089000,tehran
0036000000,tehran
0031400000,tehran
0032100000,tehran
0033900000,tehran
0034600000,tehran
0035300000,tehran
0036000000,tehran
0037800000,tehran
0038500000,tehran
0039200000,tehran
0031070000,tehran
0031180000,tehran
0031290000,tehran
0031400000,tehran
0031510000,tehran
0031620000,tehran
0031730000,tehran
0031840000,tehran
0031950000,tehran
0032100000,tehran
0032210000,tehran
0032320000,tehran
0032430000,tehran
0032540000,tehran
0032650000,tehran
0032760000,tehran
0032870000,tehran
0032980000,tehran
0033020000,tehran
0033130000,tehran
0033240000,tehran
0033350000,tehran
0033460000,tehran
0033570000,tehran
0033680000,tehran
0033790000,tehran
0033900000,tehran
0034050000,tehran
0034160000,tehran
0034270000,tehran
0034380000,tehran
0034490000,tehran
0034600000,tehran
0034710000,tehran
0034820000,tehran
0034930000,tehran
0035080000,tehran
0035190000,tehran
0035300000,tehran
0035410000,tehran
0035520000,tehran
0035630000,tehran
0035740000,tehran
0035850000,tehran
0035960000,tehran
0036000000,tehran
0036110000,tehran
0036220000,tehran
0036330000,tehran
0036440000,tehran
0036550000,tehran
0036660000,tehran
0036770000,tehran
0036880000,tehran
0036990000,tehran
0037030000,tehran
0037140000,tehran
0037250000,tehran
0037360000,tehran
0037470000,tehran
0037580000,tehran
0037690000,tehran
0037800000,tehran
0037910000,tehran
0038060000,tehran
0038170000,tehran
0038280000,tehran
0038390000,tehran
0038500000,tehran
0038610000,tehran
0038720000,tehran
0038830000,tehran
0038940000,tehran
0039090000,tehran
0039200000,tehran
0039310000,tehran
0039420000,tehran
0039530000,tehran
0039640000,tehran
0039750000,tehran
0039860000,tehran
